Dataset S1A. Results for the 484 differentially expressed genes (DEGs) between all control and heated corals regardless of population. FoldChange is calculated as the ratio of Heated/Control expression. Full annotation information can be found in the full supporting annotationfile at http://palumbilab.stanford.edu/data.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ourcontigname,topnrMatch,topnrEvalue,Uniprotmatch,evalue,Uniprot Description,HGNC_Name,foldChange,p-value,q-value
contig150350_600068_104725_115686_140729,predicted protein [Nematostella vectensis] gi|156213156|gb|EDO34185.1| predicted protein [Nematostella vectensis],2.00E-39,Q90XB6,2.00E-27,Extracellular sulfatase Sulf-1,No_HGNC_match,2.56,4.57E-04,1.61E-02
contig154257,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.56,2.62E-04,1.02E-02
contig75607_169164_74746,predicted protein [Nematostella vectensis] gi|156209553|gb|EDO30818.1| predicted protein [Nematostella vectensis],5.05E-24,Q923M0,2.00E-12,Protein phosphatase 1 regulatory subunit 16A,No_HGNC_match,2.55,9.40E-04,2.66E-02
contig180885_212540,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.54,8.51E-04,2.47E-02
contig147894,predicted protein [Nematostella vectensis] gi|156216074|gb|EDO37019.1| predicted protein [Nematostella vectensis],1.87E-53,Q29RU2,6.00E-24,Oncoprotein-induced transcript 3 protein,No_HGNC_match,2.54,1.05E-04,5.04E-03
contig208026,hypothetical protein TRIADDRAFT_63840 [Trichoplax adhaerens] gi|190585336|gb|EDV25404.1| hypothetical protein TRIADDRAFT_63840 [Trichoplax adhaerens],3.91E-19,Q5TZ24,6.00E-14,DBH-like monooxygenase protein 1 homolog,No_HGNC_match,2.54,4.48E-05,2.60E-03
contig170228_212502,hypothetical protein NEMVEDRAFT_v1g140045 [Nematostella vectensis] gi|156383535|ref|XP_001632889.1| predicted protein [Nematostella vectensis] gi|156209338|gb|EDO30634.1| predicted protein [Nematostella vectensis] gi|156219951|gb|EDO40826.1| predicted protein [Nematostella vectensis],1.57E-24,P97360,5.00E-09,Transcription factor ETV6,No_HGNC_match,2.53,1.61E-03,3.82E-02
contig145533,TPA_inf: TEPP protein [Acropora millepora],3.94E-43,P38529,2.00E-17,Heat shock factor protein 1,No_HGNC_match,2.52,1.36E-04,6.18E-03
contig600046,galaxin [Acropora millepora],2.32E-06,D9IQ16,2.00E-06,Galaxin,No_HGNC_match,2.52,2.02E-04,8.24E-03
contig66661,predicted protein [Nematostella vectensis] gi|156211761|gb|EDO32853.1| predicted protein [Nematostella vectensis],1.93E-62,O14514,1.00E-34,Brain-specific angiogenesis inhibitor 1,brain-specific angiogenesis inhibitor 1,2.51,2.67E-04,1.03E-02
contig153551,predicted protein [Nematostella vectensis] gi|156224035|gb|EDO44864.1| predicted protein [Nematostella vectensis],1.70E-30,Q960X8,4.00E-29,Hepatocyte growth factor-regulated tyrosine kinase substrate,No_HGNC_match,2.51,1.95E-03,4.35E-02
contig211919_179573,unnamed protein product [Tetraodon nigroviridis],2.29E-42,Q68BL7,2.00E-41,Olfactomedin-like protein 2A,olfactomedin-like 2A,2.51,5.04E-04,1.71E-02
contig148844,predicted protein [Nematostella vectensis] gi|156228939|gb|EDO49736.1| predicted protein [Nematostella vectensis],3.12E-71,Q61316,2.00E-56,Heat shock 70 kDa protein 4,No_HGNC_match,2.49,1.78E-04,7.51E-03
contig51215,predicted protein [Nematostella vectensis] gi|156214319|gb|EDO35310.1| predicted protein [Nematostella vectensis],9.28E-22,Q01528,2.00E-17,Hemagglutinin/amebocyte aggregation factor,No_HGNC_match,2.48,2.30E-04,9.10E-03
contig68383_180363_132010,Egr-1 [Clarias gariepinus],3.39E-49,P26632,1.00E-49,Early growth response protein 1,No_HGNC_match,2.47,1.27E-04,5.86E-03
contig145043_179370,predicted protein [Nematostella vectensis] gi|156220311|gb|EDO41181.1| predicted protein [Nematostella vectensis],4.13E-151,Q8VI36,9.00E-131,Paxillin,No_HGNC_match,2.47,1.61E-04,7.06E-03
contig44815_68504_129659_205001,Doublesex and mab-3 related transcription factor 5 [Xenopus laevis] gi|213626817|gb|AAI70170.1| Doublesex and mab-3 related transcription factor 5 [Xenopus laevis],2.52E-33,Q2MJB4,1.00E-34,Doublesex- and mab-3-related transcription factor A2,No_HGNC_match,2.46,8.14E-04,2.40E-02
contig153487,PREDICTED: hypothetical protein [Hydra magnipapillata],8.49E-36,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.45,1.23E-03,3.22E-02
contig204059_107223,PREDICTED: similar to CG15828 CG15828-PB [Hydra magnipapillata],6.73E-75,Q9U943,3.00E-41,Apolipophorins,No_HGNC_match,2.45,1.82E-03,4.16E-02
contig152884,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.44,1.13E-03,3.04E-02
contig182735,predicted protein [Nematostella vectensis] gi|156217662|gb|EDO38574.1| predicted protein [Nematostella vectensis],6.40E-34,Q7ZXH3,9.00E-11,Mitogen-activated protein kinase kinase kinase 7-interacting protein 3 homolog,No_HGNC_match,2.41,1.19E-03,3.18E-02
contig150730,predicted protein [Nematostella vectensis] gi|156224485|gb|EDO45310.1| predicted protein [Nematostella vectensis],4.61E-23,P41969,3.00E-17,ETS domain-containing protein Elk-1,No_HGNC_match,2.41,2.80E-04,1.06E-02
contig185021_212691,hypothetical protein [Trichomonas vaginalis G3] gi|121916859|gb|EAY21637.1| hypothetical protein TVAG_014040 [Trichomonas vaginalis G3],5.80E-07,P36044,8.00E-06,Protein MNN4,No_HGNC_match,2.41,8.27E-04,2.42E-02
contig177311_209973,catalase [Anemonia viridis],1.00E-73,Q9PWF7,2.00E-63,Catalase,No_HGNC_match,2.39,5.66E-05,3.12E-03
contig75209,No_sig_nr_hit,No_sig_nr_hit,Q5R814,7.00E-06,Serine/threonine-protein kinase PRP4 homolog,No_HGNC_match,2.38,6.10E-04,1.97E-02
contig147821,predicted protein [Nematostella vectensis] gi|156217809|gb|EDO38718.1| predicted protein [Nematostella vectensis],7.33E-176,A0JMU5,1.00E-111,Putative protein arginine N-methyltransferase 10,No_HGNC_match,2.37,9.59E-04,2.70E-02
contig204162,predicted protein [Nematostella vectensis] gi|156227804|gb|EDO48606.1| predicted protein [Nematostella vectensis],4.28E-63,P22757,5.00E-42,Hatching enzyme,No_HGNC_match,2.37,6.48E-04,2.06E-02
contig76526,predicted protein [Nematostella vectensis] gi|156227046|gb|EDO47852.1| predicted protein [Nematostella vectensis],2.58E-126,Q5RJA1,4.00E-113,DNA-binding protein RFX6,No_HGNC_match,2.35,2.07E-03,4.54E-02
contig148819,hypothetical protein BRAFLDRAFT_66627 [Branchiostoma floridae] gi|229285404|gb|EEN56130.1| hypothetical protein BRAFLDRAFT_66627 [Branchiostoma floridae],0,Q9Z1Q9,0,Valyl-tRNA synthetase,No_HGNC_match,2.35,2.16E-03,4.68E-02
contig150050_182788,predicted protein [Nematostella vectensis] gi|156221992|gb|EDO42841.1| predicted protein [Nematostella vectensis],3.30E-146,Q92519,3.00E-99,Tribbles homolog 2,tribbles homolog 2 (Drosophila),2.34,3.39E-04,1.24E-02
contig145275_179145,predicted protein [Nematostella vectensis] gi|156220513|gb|EDO41380.1| predicted protein [Nematostella vectensis],5.61E-66,P79145,1.00E-31,cAMP-responsive element modulator,No_HGNC_match,2.34,1.83E-03,4.17E-02
contig152478,hypothetical protein BRAFLDRAFT_80587 [Branchiostoma floridae] gi|229282681|gb|EEN53428.1| hypothetical protein BRAFLDRAFT_80587 [Branchiostoma floridae],3.19E-25,Q61555,6.00E-18,Fibrillin-2,No_HGNC_match,2.34,1.24E-03,3.24E-02
contig150424,predicted protein [Nematostella vectensis] gi|156227043|gb|EDO47849.1| predicted protein [Nematostella vectensis],5.38E-35,Q9U3S9,6.00E-27,Zinc metalloproteinase nas-6,No_HGNC_match,2.34,6.37E-04,2.04E-02
contig600117,"peroxinectin, putative [Ixodes scapularis] gi|215500805|gb|EEC10299.1| peroxinectin, putative [Ixodes scapularis]",8.27E-86,A4IGL7,5.00E-79,Peroxidasin,No_HGNC_match,2.33,7.14E-04,2.20E-02
contig100349,Transcriptional repressor NF-X1 [Dicentrarchus labrax],3.39E-69,Q12986,2.00E-66,Transcriptional repressor NF-X1,"nuclear transcription factor, X-box binding 1",2.33,1.29E-03,3.30E-02
contig183334,hypothetical protein TcasGA2_TC005062 [Tribolium castaneum],1.11E-07,D7GYL6,1.00E-07,Putative uncharacterized protein,No_HGNC_match,2.33,1.71E-03,3.97E-02
contig149854,predicted protein [Nematostella vectensis] gi|156220229|gb|EDO41100.1| predicted protein [Nematostella vectensis],5.01E-67,O43900,2.00E-42,Prickle-like protein 3,prickle homolog 3 (Drosophila),2.33,8.99E-04,2.57E-02
contig174339,activating transcription factor 4-like protein [Anthopleura elegantissima],1.39E-21,Q6P788,8.00E-13,Cyclic AMP-dependent transcription factor ATF-5,No_HGNC_match,2.33,1.63E-04,7.08E-03
contig25115_185846_195739_54681,PREDICTED: StAR-related lipid transfer (START) domain containing 13-like [Saccoglossus kowalevskii],2.90E-151,Q9R0Z9,2.00E-131,Rho GTPase-activating protein 7,No_HGNC_match,2.32,2.39E-04,9.36E-03
contig205659_169896,predicted protein [Nematostella vectensis] gi|156225454|gb|EDO46271.1| predicted protein [Nematostella vectensis],3.39E-136,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.32,2.17E-04,8.73E-03
contig176289_120118_153740_72036_88343_162349,hypothetical protein Esi_0067_0076 [Ectocarpus siliculosus],1.72E-13,D7G5T0,2.00E-13,Putative uncharacterized protein,No_HGNC_match,2.31,7.86E-04,2.34E-02
contig76115,PREDICTED: protein osteopotentia [Danio rerio],1.03E-18,Q9UBS9,9.00E-18,Protein osteopotentia homolog,SUN domain containing ossification factor,2.31,1.51E-03,3.67E-02
contig74965,PREDICTED: similar to CG15828 CG15828-PB [Hydra magnipapillata],2.18E-84,Q9U943,2.00E-32,Apolipophorins,No_HGNC_match,2.29,1.00E-03,2.77E-02
contig96421_189251,predicted protein [Nematostella vectensis] gi|156227837|gb|EDO48639.1| predicted protein [Nematostella vectensis],8.79E-97,Q5PRF9,1.00E-46,Protein Smaug homolog 2,sterile alpha motif domain containing 4B,2.29,1.01E-03,2.78E-02
contig183349,transposase [Acropora millepora],9.05E-47,Q6ZN16,4.00E-20,Mitogen-activated protein kinase kinase kinase 15,mitogen-activated protein kinase kinase kinase 15,2.29,1.83E-03,4.17E-02
contig58472,predicted protein [Nematostella vectensis] gi|156219503|gb|EDO40384.1| predicted protein [Nematostella vectensis],1.45E-70,A2AX52,4.00E-19,Collagen alpha-4(VI) chain,No_HGNC_match,2.29,9.89E-04,2.75E-02
contig204570,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.28,7.59E-05,3.90E-03
contig146917,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.28,1.71E-03,3.97E-02
contig146593,EGF-like domain-containing protein [Dictyostelium discoideum AX4] gi|165988554|gb|EDR41055.1| EGF-like domain-containing protein [Dictyostelium discoideum AX4],2.64E-75,O88281,2.00E-57,Multiple epidermal growth factor-like domains protein 6,No_HGNC_match,2.28,8.86E-04,2.55E-02
contig91758,predicted protein [Nematostella vectensis] gi|156220988|gb|EDO41849.1| predicted protein [Nematostella vectensis],2.21E-10,O97758,7.00E-08,Tight junction protein ZO-1,No_HGNC_match,2.28,1.51E-03,3.66E-02
contig209919,"zinc finger domain, LSD1 subclass family protein [Tetrahymena thermophila] gi|89291421|gb|EAR89409.1| zinc finger domain, LSD1 subclass family protein [Tetrahymena thermophila SB210]",2.53E-08,P21849,1.00E-05,Major surface-labeled trophozoite antigen 417,No_HGNC_match,2.27,1.20E-03,3.18E-02
contig204757,predicted protein [Nematostella vectensis] gi|156228932|gb|EDO49729.1| predicted protein [Nematostella vectensis],3.66E-178,Q96PQ7,6.00E-139,Kelch-like protein 5,kelch-like 5 (Drosophila),2.27,7.44E-04,2.27E-02
contig143957,"peroxinectin, putative [Ixodes scapularis] gi|215500805|gb|EEC10299.1| peroxinectin, putative [Ixodes scapularis]",8.27E-86,A4IGL7,5.00E-79,Peroxidasin,No_HGNC_match,2.27,1.64E-04,7.08E-03
contig145450_181814_176045,predicted protein [Nematostella vectensis] gi|156212934|gb|EDO33972.1| predicted protein [Nematostella vectensis],7.44E-14,P20482,5.00E-09,Segmentation protein cap'n'collar,No_HGNC_match,2.25,9.78E-04,2.73E-02
contig202558,PREDICTED: similar to predicted protein [Hydra magnipapillata],6.57E-78,P13497,7.00E-31,Bone morphogenetic protein 1,bone morphogenetic protein 1,2.25,9.31E-04,2.65E-02
contig152997_143698_202181,predicted protein [Nematostella vectensis] gi|156226147|gb|EDO46959.1| predicted protein [Nematostella vectensis],0,Q8IZP9,2.00E-50,G-protein coupled receptor 64,G protein-coupled receptor 64,2.24,1.22E-03,3.19E-02
contig14703_24352_93157_153249,predicted protein [Nematostella vectensis] gi|156215566|gb|EDO36523.1| predicted protein [Nematostella vectensis],0,Q1LVF0,4.00E-146,Laminin subunit gamma-1,No_HGNC_match,2.23,1.34E-03,3.38E-02
contig211526_160551_158949,No_sig_nr_hit,No_sig_nr_hit,Q54VI5,3.00E-05,Uncharacterized protein DDB_G0280315,No_HGNC_match,2.22,1.25E-03,3.26E-02
contig147248_202399,predicted protein [Nematostella vectensis] gi|156215402|gb|EDO36363.1| predicted protein [Nematostella vectensis],2.88E-80,Q4VC17,9.00E-48,A disintegrin and metalloproteinase with thrombospondin motifs 18,No_HGNC_match,2.22,6.33E-04,2.03E-02
contig71967,predicted protein [Nematostella vectensis] gi|156226286|gb|EDO47097.1| predicted protein [Nematostella vectensis],6.12E-92,P16092,4.00E-63,Fibroblast growth factor receptor 1,No_HGNC_match,2.21,5.53E-04,1.84E-02
contig146578,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.20,1.53E-03,3.68E-02
contig59163,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.19,7.63E-04,2.31E-02
contig148578_170429,predicted protein [Nematostella vectensis] gi|156225761|gb|EDO46576.1| predicted protein [Nematostella vectensis],3.44E-72,Q86UP6,1.00E-26,CUB and zona pellucida-like domain-containing protein 1,CUB and zona pellucida-like domains 1,2.19,6.58E-04,2.09E-02
contig145219,PREDICTED: similar to CG15828 CG15828-PB [Hydra magnipapillata],2.18E-84,Q9U943,2.00E-32,Apolipophorins,No_HGNC_match,2.19,4.33E-04,1.54E-02
contig155851_69784_130543_130414,PREDICTED: Temporarily Assigned Gene name family member (tag-260)-like [Saccoglossus kowalevskii],1.78E-81,Q8R3Y8,9.00E-76,Interferon regulatory factor 2-binding protein 1,No_HGNC_match,2.19,6.73E-04,2.11E-02
contig65131,predicted protein [Nematostella vectensis] gi|156216074|gb|EDO37019.1| predicted protein [Nematostella vectensis],5.46E-69,Q29RU2,3.00E-38,Oncoprotein-induced transcript 3 protein,No_HGNC_match,2.19,2.28E-03,4.85E-02
contig26490_75511_105608_209803,predicted protein [Nematostella vectensis] gi|156210094|gb|EDO31299.1| predicted protein [Nematostella vectensis],0,Q5R7B8,3.00E-122,Kelch-like protein 20,No_HGNC_match,2.18,1.39E-03,3.48E-02
contig145165,hypothetical protein BRAFLDRAFT_88566 [Branchiostoma floridae] gi|229289603|gb|EEN60288.1| hypothetical protein BRAFLDRAFT_88566 [Branchiostoma floridae],1.74E-106,Q96RW7,6.00E-106,Hemicentin-1,hemicentin 1,2.16,2.87E-05,1.81E-03
contig59025,predicted protein [Nematostella vectensis] gi|156219503|gb|EDO40384.1| predicted protein [Nematostella vectensis],0,A6NMZ7,2.00E-27,Collagen alpha-6(VI) chain,"collagen, type VI, alpha 6",2.16,1.58E-03,3.77E-02
contig179752_152675,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.14,1.32E-03,3.35E-02
contig145084,"PREDICTED: similar to predicted protein, partial [Ciona intestinalis]",0,Q07008,8.00E-121,Neurogenic locus notch homolog protein 1,No_HGNC_match,2.13,1.66E-03,3.92E-02
contig112688_170707_146883,PREDICTED: amoeboid myosin I-like [Saccoglossus kowalevskii],0,Q12965,0,Myosin-Ie,myosin IE,2.13,4.86E-04,1.66E-02
contig147852,hypothetical protein PPL_08856 [Polysphondylium pallidum PN500],7.56E-05,D3BJX6,8.00E-05,Putative uncharacterized protein,No_HGNC_match,2.12,1.16E-03,3.09E-02
contig150860,PREDICTED: hemicentin-1 [Monodelphis domestica],4.29E-05,Q5RIP6,6.00E-05,Novel hemicentin protein,No_HGNC_match,2.11,2.34E-03,4.96E-02
contig146097,unnamed protein product [Tetraodon nigroviridis],9.70E-24,B0V2N1,3.00E-22,Receptor-type tyrosine-protein phosphatase S,No_HGNC_match,2.09,1.86E-03,4.21E-02
contig147787,predicted protein [Nematostella vectensis] gi|156211038|gb|EDO32172.1| predicted protein [Nematostella vectensis],2.07E-134,Q5VXJ0,9.00E-86,Lipase member K,"lipase, family member K",2.08,2.18E-03,4.70E-02
contig186997_189048,predicted protein [Nematostella vectensis] gi|156227972|gb|EDO48773.1| predicted protein [Nematostella vectensis],2.81E-67,Q3ZCC3,5.00E-44,TNF receptor-associated factor 6,No_HGNC_match,2.04,1.05E-03,2.88E-02
contig170341,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],1.03E-58,Q96BY9,7.00E-45,Transmembrane protein 66,transmembrane protein 66,2.03,8.50E-04,2.47E-02
contig148021,predicted protein [Nematostella vectensis] gi|156221694|gb|EDO42546.1| predicted protein [Nematostella vectensis],1.20E-122,Q9Y2M2,3.00E-53,Uncharacterized protein C3orf32,ssu-2 homolog (C. elegans),2.03,4.67E-05,2.68E-03
contig151369,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,2.01,2.06E-03,4.53E-02
contig196008_74613_169873,predicted protein [Nematostella vectensis] gi|156215483|gb|EDO36442.1| predicted protein [Nematostella vectensis],6.11E-117,Q66L42,1.00E-80,Mitogen-activated protein kinase kinase kinase 10,No_HGNC_match,2.01,2.04E-03,4.50E-02
contig150618,predicted protein [Nematostella vectensis] gi|156224518|gb|EDO45343.1| predicted protein [Nematostella vectensis],2.11E-114,Q90478,2.00E-34,Neural cell adhesion molecule L1.1,No_HGNC_match,1.99,6.61E-04,2.09E-02
contig145894,predicted protein [Nematostella vectensis] gi|156224755|gb|EDO45578.1| predicted protein [Nematostella vectensis],1.35E-102,Q8BN59,5.00E-35,La-related protein 6,No_HGNC_match,1.98,1.11E-03,2.99E-02
contig207822_151512,predicted protein [Nematostella vectensis] gi|156219503|gb|EDO40384.1| predicted protein [Nematostella vectensis],1.47E-71,A6NMZ7,4.00E-16,Collagen alpha-6(VI) chain,"collagen, type VI, alpha 6",1.97,1.75E-03,4.06E-02
contig177775_113472,predicted protein [Nematostella vectensis] gi|156227518|gb|EDO48321.1| predicted protein [Nematostella vectensis],9.47E-55,P63696,3.00E-14,Uncharacterized transporter Mb0941,No_HGNC_match,1.95,1.41E-03,3.51E-02
contig148526,predicted protein [Nematostella vectensis] gi|156218732|gb|EDO39625.1| predicted protein [Nematostella vectensis],3.77E-85,Q8IU80,1.00E-51,Transmembrane protease serine 6,"transmembrane protease, serine 6",1.91,7.04E-04,2.18E-02
contig79838,PREDICTED: similar to predicted protein [Hydra magnipapillata],1.05E-31,A6QP79,1.00E-20,Collectin-12,No_HGNC_match,1.87,1.78E-03,4.12E-02
contig211207,"PREDICTED: similar to HyTSRp1 protein, partial [Strongylocentrotus purpuratus] gi|115964400|ref|XP_001189677.1| PREDICTED: similar to HyTSRp1 protein, partial [Strongylocentrotus purpuratus]",2.55E-12,Q96RW7,3.00E-13,Hemicentin-1,hemicentin 1,1.85,1.71E-03,3.97E-02
contig151169,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,1.78,2.03E-03,4.49E-02
contig13535_144960,tenascin C [Salpingoeca sp. ATCC 50818],0,Q07008,8.00E-125,Neurogenic locus notch homolog protein 1,No_HGNC_match,1.73,5.97E-04,1.96E-02
contig145710,predicted protein [Nematostella vectensis] gi|156221021|gb|EDO41881.1| predicted protein [Nematostella vectensis],6.08E-94,P58197,2.00E-68,Transcription factor AP-2-alpha,No_HGNC_match,-2.01,2.18E-03,4.70E-02
contig70641_96182,hypothetical protein BRAFLDRAFT_69120 [Branchiostoma floridae] gi|229280741|gb|EEN51506.1| hypothetical protein BRAFLDRAFT_69120 [Branchiostoma floridae],3.84E-59,Q5R5C1,4.00E-49,Uromodulin,No_HGNC_match,-2.02,1.32E-03,3.35E-02
contig71113,"viral A-type inclusion protein [Trichomonas vaginalis G3] gi|121891874|gb|EAX97188.1| viral A-type inclusion protein, putative [Trichomonas vaginalis G3]",2.76E-97,Q14789,5.00E-46,Golgin subfamily B member 1,golgin B1,-2.19,1.90E-03,4.27E-02
contig69044,PREDICTED: hypothetical protein [Saccoglossus kowalevskii],1.50E-131,P38487,9.00E-128,Creatinase,No_HGNC_match,-2.19,2.03E-03,4.49E-02
contig75594,predicted protein [Nematostella vectensis] gi|156228373|gb|EDO49172.1| predicted protein [Nematostella vectensis],6.48E-25,Q32KJ8,4.00E-09,Arylsulfatase I,No_HGNC_match,-2.28,2.05E-03,4.52E-02
contig204858,E3 ubiquitin-protein ligase MIB2 [Acromyrmex echinatior],2.21E-43,Q5ZIJ9,8.00E-41,E3 ubiquitin-protein ligase MIB2,No_HGNC_match,-2.30,5.71E-04,1.89E-02
contig147964,predicted protein [Nematostella vectensis] gi|156208905|gb|EDO30282.1| predicted protein [Nematostella vectensis],0,Q2M389,2.00E-24,WASH complex subunit 7,KIAA1033,-2.31,4.59E-04,1.61E-02
contig80216,PREDICTED: hypothetical protein [Hydra magnipapillata],5.78E-29,Q64739,2.00E-24,Collagen alpha-2(XI) chain,No_HGNC_match,-2.40,2.05E-04,8.32E-03
contig146820,transcription factor Cnox4-Pc [Podocoryna carnea],1.91E-15,P09090,4.00E-11,Protein zerknuellt 2,No_HGNC_match,-2.44,6.90E-04,2.15E-02
contig171542,predicted protein [Nematostella vectensis] gi|156225382|gb|EDO46200.1| predicted protein [Nematostella vectensis],3.63E-63,A8WHP3,5.00E-38,Sodium/glucose cotransporter 4,No_HGNC_match,-2.44,1.69E-03,3.96E-02
contig203152,predicted protein [Nematostella vectensis] gi|156222856|gb|EDO43696.1| predicted protein [Nematostella vectensis],2.77E-53,P22758,5.00E-44,Protein-glutamine gamma-glutamyltransferase K,No_HGNC_match,-2.46,9.88E-04,2.75E-02
contig104395_153016,DM domain protein [Acropora millepora],0,Q2MJB4,2.00E-33,Doublesex- and mab-3-related transcription factor A2,No_HGNC_match,-2.46,7.72E-04,2.33E-02
contig167097,PREDICTED: muscle protein 20-like [Saccoglossus kowalevskii],4.26E-37,P37397,1.00E-27,Calponin-3,No_HGNC_match,-2.48,1.95E-04,8.02E-03
contig146325,LOC432073 protein [Xenopus laevis],2.12E-06,Q2VWQ2,5.00E-07,Protein kinase C-binding protein NELL1,No_HGNC_match,-2.49,1.43E-03,3.55E-02
contig147939,PREDICTED: amine oxidase [flavin-containing] A-like [Danio rerio],2.25E-20,P21398,9.00E-18,Amine oxidase [flavin-containing] A,No_HGNC_match,-2.49,2.31E-03,4.92E-02
contig203903,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.50,6.01E-04,1.96E-02
contig71142,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.52,1.53E-03,3.68E-02
contig71265_179230,predicted protein [Nematostella vectensis] gi|156209373|gb|EDO30665.1| predicted protein [Nematostella vectensis],1.80E-99,Q80T21,3.00E-100,ADAMTS-like protein 4,No_HGNC_match,-2.52,1.52E-03,3.67E-02
contig176071,egg protein [Galaxea fascicularis],3.73E-63,Q1HA50,4.00E-63,Egg protein,No_HGNC_match,-2.56,7.66E-04,2.31E-02
contig137624,No_sig_nr_hit,No_sig_nr_hit,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.57,2.21E-03,4.76E-02
contig4139_178421_174266,Frizzled-4 [Ascaris suum],3.06E-06,Q95117,7.00E-07,Secreted frizzled-related protein 3,No_HGNC_match,-2.58,3.03E-04,1.13E-02
contig77013,predicted protein [Nematostella vectensis] gi|156223149|gb|EDO43987.1| predicted protein [Nematostella vectensis],5.51E-15,F6Z1Q7,5.00E-05,Uncharacterized protein,No_HGNC_match,-2.58,1.60E-03,3.81E-02
contig150944,predicted protein [Nematostella vectensis] gi|156228878|gb|EDO49675.1| predicted protein [Nematostella vectensis],0,P94598,7.00E-144,Glutamate dehydrogenase,No_HGNC_match,-2.63,1.44E-03,3.55E-02
contig70061_148962,predicted protein [Nematostella vectensis] gi|156216360|gb|EDO37299.1| predicted protein [Nematostella vectensis],1.52E-22,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.64,1.46E-03,3.58E-02
contig77755_70614_107573,PREDICTED: similar to ANKTM1 [Strongylocentrotus purpuratus] gi|115961640|ref|XP_001186461.1| PREDICTED: similar to ANKTM1 [Strongylocentrotus purpuratus],8.23E-48,Q7Z020,3.00E-40,Transient receptor potential cation channel subfamily A member 1,No_HGNC_match,-2.65,3.08E-04,1.14E-02
contig147779,hypothetical protein AM1_C0120 [Acaryochloris marina MBIC11017] gi|158310813|gb|ABW32427.1| hypothetical protein AM1_C0120 [Acaryochloris marina MBIC11017],1.29E-27,Q01033,5.00E-14,Uncharacterized gene 48 protein,No_HGNC_match,-2.71,4.86E-04,1.66E-02
contig170019,predicted protein [Nematostella vectensis] gi|156228210|gb|EDO49010.1| predicted protein [Nematostella vectensis],2.48E-16,No_Uniprotmatch,No_evalue,No_Description,No_HGNC_match,-2.73,1.08E-03,2.92E-02
contig168077,predicted protein [Nematostella vectensis] gi|156222419|gb|EDO43263.1| predicted protein [Nematostella vectensis],6.48E-32,Q5PPM5,4.00E-22,Transcription factor HES-1,No_HGNC_match,-2.74,3.44E-04,1.25E-02
contig147426,retinol dehydrogenase 1 [Danio rerio] gi|28279782|gb|AAH46089.1| Retinol dehydrogenase 1 [Danio rerio],5.34E-45,P29147,3.00E-32,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",No_HGNC_match,-2.75,1.78E-05,1.23E-03
contig151176_175734,predicted protein [Nematostella vectensis] gi|156210229|gb|EDO31419.1| predicted protein [Nematostella vectensis],1.50E-59,P54278,6.00E-43,Mismatch repair endonuclease PMS2,PMS2 postmeiotic segregation increased 2 (S. cerevisiae),-2.76,1.83E-05,1.25E-03
contig184743_176412,predicted protein [Nematostella vectensis] gi|156210229|gb|EDO31419.1| predicted protein [Nematostella vectensis],1.50E-59,P54278,6.00E-43,Mismatch repair endonuclease PMS2,PMS2 postmeiotic segregation increased 2 (S. cerevisiae),-2.76,5.19E-05,2.91E-03
contig69564_174821,predicted protein [Nematostella vectensis] gi|156224916|gb|EDO45738.1| predicted protein [Nematostella vectensis],3.90E-137,Q7SC45,1.00E-37,Protein btn-1,No_HGNC_match,-2.77,5.78E-04,1.91E-02
contig154277,hypothetical protein BRAFLDRAFT_126487 [Branchiostoma floridae] gi|229291499|gb|EEN62170.1| hypothetical protein BRAFLDRAFT_126487 [Branchiostoma floridae],8.13E-32,P13944,3.00E-23,Collagen alpha-1(XII) chain,No_HGNC_match,-2.79,1.45E-03,3.57E-02
