Ourcontigname,AnnoOrigin,ContigName,ContigLength,topnrMatch,topnrEvalue,nobadwordnrMatch,nobadwordnrEvalue,Uniprotmatch,X._identity,evalue,ID,Description,KEGG,KEGGKO,GO,GOCC,GOBP,GOMF,Keywords,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,X.9,X.10,X.11,X.12,X.13,X.14
contig174343,adi_v1_predictedtranscripts,adi_v1.07406,1969,glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588] gi|256040608|gb|ACU64152.1| Glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588],7.93E-12,glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588] gi|256040608|gb|ACU64152.1| Glyoxalase/bleomycin resistance protein/dioxygenase [Chitinophaga pinensis DSM 2588],7.93E-12,C7PNQ2,26.85,8.00E-12,C7PNQ2_CHIPD,Glyoxalase/bleomycin resistance protein/dioxygenase,cpi:Cpin_6751,No_KEGGKO,GO:0016702,No_GOBP,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702);",No_GOCC,Complete proteome;Dioxygenase;Oxidoreductase;Signal.;,,,,,,,,,,,,,,,
contig175637,33496_denovo,contig175637,583,calmodulin-related protein [Zea mays] gi|195650947|gb|ACG44941.1| calmodulin-related protein [Zea mays],2.23E-23,calmodulin-related protein [Zea mays] gi|195650947|gb|ACG44941.1| calmodulin-related protein [Zea mays],2.23E-23,P02594,44.83,4.00E-23,CALM_ELEEL,Calmodulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Methylation;Repeat.;,,,,,,,,,,,,,,,
contig176137,33496_denovo,contig176137,614,hypothetical protein BRAFLDRAFT_105284 [Branchiostoma floridae] gi|229291897|gb|EEN62564.1| hypothetical protein BRAFLDRAFT_105284 [Branchiostoma floridae],2.59E-07,EF-hand domain-containing protein C3orf25 [Mus musculus],0.032716561,C3YAW3,37.18,3.00E-07,C3YAW3_BRAFL,Putative uncharacterized protein,bfo:BRAFLDRAFT_105284,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig176500,Matz_hyacinthusESTs,isotig07778,1446,PREDICTED: calbindin 53E-like [Saccoglossus kowalevskii],2.01E-51,Calretinin [Salmo salar],2.01E-51,Q3ZBY3,45.49,2.00E-51,CALB2_BOVIN,Calretinin,bta:513947,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig176708,adi_v1_predictedtranscripts,adi_v1.17128,1757,predicted protein [Nematostella vectensis] gi|156223661|gb|EDO44494.1| predicted protein [Nematostella vectensis],1.16E-35,"family with sequence similarity 48, member A [Xenopus laevis] gi|84105486|gb|AAI11517.1| MGC132380 protein [Xenopus laevis]",4.58E-32,Q5ZM71,47.45,2.00E-33,FA48A_CHICK,Protein FAM48A,gga:418896,No_KEGGKO,GO:0007369,gastrulation (GO:0007369);,No_GOMF,No_GOCC,Complete proteome;Developmental protein;Gastrulation;Reference proteome.;,,,,,,,,,,,,,,,
contig178210,33496_denovo,contig178210,527,"PREDICTED: similar to nonmuscle myosin II heavy chain A, partial [Strongylocentrotus purpuratus]",9.13E-30,GG18048 [Drosophila erecta] gi|190649434|gb|EDV46712.1| GG18048 [Drosophila erecta],0.005578979,C3YLM5,42.69,6.00E-27,C3YLM5_BRAFL,Putative uncharacterized protein,bfo:BRAFLDRAFT_93728,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig178978,Matz_hyacinthusESTs,isotig09188,912,hypothetical protein BRAFLDRAFT_113847 [Branchiostoma floridae] gi|229280756|gb|EEN51521.1| hypothetical protein BRAFLDRAFT_113847 [Branchiostoma floridae],1.04E-40,MGC83609 protein [Xenopus laevis] gi|49118670|gb|AAH73699.1| MGC83609 protein [Xenopus laevis],4.23E-34,Q1JQD2,62.26,9.00E-33,GRWD1_BOVIN,Glutamate-rich WD repeat-containing protein 1,bta:540739,K14848,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig179719,33496_denovo,contig179719,248,hypothetical protein NEMVEDRAFT_v1g142481 [Nematostella vectensis] gi|156208546|gb|EDO30013.1| predicted protein [Nematostella vectensis],4.44E-17,Unknown (protein for IMAGE:8994562) [Danio rerio],1.06E-10,Q9ESJ4,36,3.00E-09,SPN90_MOUSE,NCK-interacting protein with SH3 domain,mmu:80987,No_KEGGKO,GO:0017124,No_GOBP,SH3 domain binding (GO:0017124);,No_GOCC,Complete proteome;Nucleus;Phosphoprotein;Reference proteome;SH3 domain;SH3-binding.;,,,,,,,,,,,,,,,
contig181215,adi_v1_predictedtranscripts,adi_v1.21398,1672,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.96E-29,PRKR-interacting protein 1 homolog [Xenopus laevis] gi|82184218|sp|Q6GNG8.1|PKRI1_XENLA RecName: Full=PRKR-interacting protein 1 homolog gi|49115804|gb|AAH73544.1| MGC82814 protein [Xenopus laevis],9.96E-29,Q6GNG8,58.33,5.00E-30,PKRI1_XENLA,PRKR-interacting protein 1 homolog,xla:444352,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Coiled coil;Nucleus.;,,,,,,,,,,,,,,,
contig185871,adi_v1_predictedtranscripts,adi_v1.12501,1212,predicted protein [Nematostella vectensis] gi|156218526|gb|EDO39422.1| predicted protein [Nematostella vectensis],5.02E-66,predicted protein [Nematostella vectensis] gi|156218526|gb|EDO39422.1| predicted protein [Nematostella vectensis],5.02E-66,P18503,34.16,4.00E-13,CAS4_EPHMU,Short-chain collagen C4,No_KEGG,No_KEGGKO,GO:0005581,No_GOBP,No_GOMF,collagen (GO:0005581);,Collagen;Extracellular matrix;Hydroxylation;Repeat;Secreted.;,,,,,,,,,,,,,,,
contig192039,adi_v1_predictedtranscripts,adi_v1.16451,2456,predicted protein [Nematostella vectensis] gi|156219329|gb|EDO40213.1| predicted protein [Nematostella vectensis],2.20E-38,glioma tumor suppressor candidate region gene 2 protein [Danio rerio] gi|81097776|gb|AAI09457.1| Zgc:123178 [Danio rerio],4.04E-16,Q9NZM5,54.17,6.00E-15,GSCR2_HUMAN,Glioma tumor suppressor candidate region gene 2 protein,hsa:29997,K14840,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Acetylation;Complete proteome;Nucleus;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig200550,adi_v1_predictedtranscripts,adi_v1.23822,1321,GTPase IMAP family member 7 [Salmo salar],1.74E-14,GTPase IMAP family member 7 [Salmo salar],1.74E-14,Q9NUV9,28.24,3.00E-13,GIMA4_HUMAN,GTPase IMAP family member 4,hsa:55303,No_KEGGKO,GO:0005525,No_GOBP,GTP binding (GO:0005525);,No_GOCC,3D-structure;Acetylation;Coiled coil;Complete proteome;GTP-binding;Nucleotide-binding;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig204076,adi_v1_predictedtranscripts,adi_v1.04999,1530,PREDICTED: hCG28984-like [Saccoglossus kowalevskii],6.01E-86,centrosomal protein of 78 kDa [Xenopus (Silurana) tropicalis] gi|150438877|sp|A2RRS8.1|CEP78_XENTR RecName: Full=Centrosomal protein of 78 kDa; Short=Cep78 gi|124297539|gb|AAI31835.1| LOC100037836 protein [Xenopus (Silurana) tropicalis],2.08E-70,A2RRS8,45.91,1.00E-71,CEP78_XENTR,Centrosomal protein of 78 kDa,xtr:100037836,No_KEGGKO,GO:0005815,No_GOBP,No_GOMF,microtubule organizing center (GO:0005815);,Complete proteome;Cytoplasm;Cytoskeleton;Reference proteome.;,,,,,,,,,,,,,,,
contig204346,adi_v1_predictedtranscripts,adi_v1.15279,4607,predicted protein [Nematostella vectensis] gi|156214378|gb|EDO35368.1| predicted protein [Nematostella vectensis],6.32E-77,la-related protein 1 [Mus musculus],1.97E-70,Q6ZQ58,68.33,9.00E-72,LARP1_MOUSE,La-related protein 1,No_KEGG,No_KEGGKO,GO:0003723,No_GOBP,RNA binding (GO:0003723);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Phosphoprotein;Reference proteome;RNA-binding.;,,,,,,,,,,,,,,,
contig204743,33496_denovo,contig204743,590,No_sig_nr_hit,No_sig_nr_hit,No_sig_nr_hit,No_sig_nr_hit,F4DYR1,35.06,1.00E-04,F4DYR1_PSEMN,Putative CheA signal transduction histidine kinase,No_KEGG,No_KEGGKO,GO:0016301,No_GOBP,kinase activity (GO:0016301);,No_GOCC,Complete proteome;Kinase;Transferase.;,,,,,,,,,,,,,,,
contig205118,33496_denovo,contig205118,341,GK15187 [Drosophila willistoni] gi|194161003|gb|EDW75904.1| GK15187 [Drosophila willistoni],9.89E-09,GK15187 [Drosophila willistoni] gi|194161003|gb|EDW75904.1| GK15187 [Drosophila willistoni],9.89E-09,Q9D9G2,35.92,6.00E-09,PEBP4_MOUSE,Phosphatidylethanolamine-binding protein 4,No_KEGG,No_KEGGKO,GO:0005764,No_GOBP,No_GOMF,lysosome (GO:0005764);,Complete proteome;Lysosome;Reference proteome;Signal.;,,,,,,,,,,,,,,,
contig205234,adi_v1_predictedtranscripts,adi_v1.19785,1841,predicted protein [Nematostella vectensis] gi|156218741|gb|EDO39634.1| predicted protein [Nematostella vectensis],5.54E-161,isopentenyl-diphosphate delta-isomerase [Spirochaeta thermophila DSM 6192] gi|306531798|gb|ADN01332.1| isopentenyl-diphosphate delta-isomerase [Spirochaeta thermophila DSM 6192],1.21E-123,Q59022,30.93,7.00E-13,Y1628_METJA,Uncharacterized protein MJ1628,mja:MJ_1628,K06924,GO:0005524,No_GOBP,ATP binding (GO:0005524);,No_GOCC,ATP-binding;Complete proteome;Nucleotide-binding;Reference proteome.;,,,,,,,,,,,,,,,
contig205630,adi_v1_predictedtranscripts,adi_v1.09018,2645,predicted protein [Nematostella vectensis] gi|156223673|gb|EDO44506.1| predicted protein [Nematostella vectensis],5.95E-146,GMC oxidoreductase [Verrucomicrobium spinosum DSM 4136],3.51E-05,Q01SK6,33.33,4.00E-05,Q01SK6_SOLUE,Putative uncharacterized protein,sus:Acid_6439,No_KEGGKO,GO:0006629,lipid metabolic process (GO:0006629);,No_GOMF,No_GOCC,Complete proteome.;,,,,,,,,,,,,,,,
contig209514,33496_denovo,contig209514,301,predicted protein [Nematostella vectensis] gi|290463395|sp|A7S2N8.1|UFL1_NEMVE RecName: Full=E3 UFM1-protein ligase 1 homolog gi|156221179|gb|EDO42037.1| predicted protein [Nematostella vectensis],3.79E-24,E3 UFM1-protein ligase 1 [Danio rerio] gi|82187286|sp|Q6PGY6.1|UFL1_DANRE RecName: Full=E3 UFM1-protein ligase 1 gi|34783770|gb|AAH56784.1| Zgc:63562 [Danio rerio],2.15E-19,B3RYG4,51.02,4.00E-23,UFL1_TRIAD,E3 UFM1-protein ligase 1 homolog,tad:TRIADDRAFT_25797,No_KEGGKO,GO:0016874,No_GOBP,ligase activity (GO:0016874);,No_GOCC,Ligase;Ubl conjugation pathway.;,,,,,,,,,,,,,,,
contig209957,adi_v1_predictedtranscripts,adi_v1.12146,1626,predicted protein [Nematostella vectensis] gi|156214416|gb|EDO35404.1| predicted protein [Nematostella vectensis],9.29E-16,"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa [Xenopus laevis] gi|50414545|gb|AAH77208.1| MGC78979 protein [Xenopus laevis]",4.04E-11,Q5R7L9,34.82,3.00E-12,TAF7_PONAB,Transcription initiation factor TFIID subunit 7,pon:100173290,K03132,GO:0071339,No_GOBP,No_GOMF,MLL1 complex (GO:0071339);,Coiled coil;Nucleus;Phosphoprotein;Transcription;Transcription regulation.;,,,,,,,,,,,,,,,
contig210442,adi_v1_predictedtranscripts,adi_v1.13049,1069,predicted protein [Nematostella vectensis] gi|156226387|gb|EDO47197.1| predicted protein [Nematostella vectensis],1.08E-05,predicted protein [Nematostella vectensis] gi|156226387|gb|EDO47197.1| predicted protein [Nematostella vectensis],1.08E-05,F7GDM4,36.36,1.00E-05,F7GDM4_MONDO,Uncharacterized protein,No_KEGG,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Complete proteome;Metal-binding;Reference proteome;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig211543,33496_denovo,contig211543,304,predicted protein [Nematostella vectensis] gi|156216715|gb|EDO37646.1| predicted protein [Nematostella vectensis],3.43E-09,putative transcription coactivator [Dictyostelium fasciculatum],1.35E-05,B3RV44,37.65,1.00E-05,B3RV44_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_55521,No_KEGGKO,GO:0000166,No_GOBP,nucleotide binding (GO:0000166);,No_GOCC,No_keywords,,,,,,,,,,,,,,,
contig211748,Matz_hyacinthusESTs,isotig03422,2022,AN1-type zinc finger protein 1 [Esox lucius],1.34E-46,AN1-type zinc finger protein 1 [Esox lucius],1.34E-46,Q8TCF1,38.64,4.00E-44,ZFAN1_HUMAN,AN1-type zinc finger protein 1,hsa:79752,K07059,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Acetylation;Alternative splicing;Complete proteome;Metal-binding;Reference proteome;Repeat;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig211772,Matz_hyacinthusESTs,isotig01568,860,calmodulin-related protein [Zea mays] gi|195650947|gb|ACG44941.1| calmodulin-related protein [Zea mays],5.20E-23,calmodulin-related protein [Zea mays] gi|195650947|gb|ACG44941.1| calmodulin-related protein [Zea mays],5.20E-23,P69098,39.33,2.00E-23,CALM_TRYBG,Calmodulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,3D-structure;Calcium;Methylation;Repeat.;,,,,,,,,,,,,,,,
contig211979,33496_denovo,contig211979,259,predicted protein [Nematostella vectensis] gi|156218513|gb|EDO39409.1| predicted protein [Nematostella vectensis],1.56E-25,LOC100285305 [Zea mays] gi|195648623|gb|ACG43779.1| DSBA-like thioredoxin domain containing protein [Zea mays],2.05E-09,E9C998,47.62,1.00E-17,E9C998_CAPO3,Putative uncharacterized protein,No_KEGG,No_KEGGKO,GO:0015035,No_GOBP,protein disulfide oxidoreductase activity (GO:0015035);,No_GOCC,Complete proteome.;,,,,,,,,,,,,,,,
contig213609,Matz_hyacinthusESTs,isotig04240,1137,unnamed protein product [Homo sapiens],3.55E-10,"UBX domain containing 6, isoform CRA_b [Homo sapiens]",3.55E-10,O00124,43.53,2.00E-11,UBXN8_HUMAN,UBX domain-containing protein 8,hsa:7993,No_KEGGKO,GO:0007338,single fertilization (GO:0007338);,No_GOMF,No_GOCC,Alternative splicing;Complete proteome;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig213713,adi_v1_predictedtranscripts,adi_v1.00187,2373,predicted protein [Nematostella vectensis] gi|156223251|gb|EDO44088.1| predicted protein [Nematostella vectensis],5.32E-82,GI24778 [Drosophila mojavensis] gi|193916487|gb|EDW15354.1| GI24778 [Drosophila mojavensis],6.53E-64,Q8K2J9,33.33,2.00E-58,BTBD6_MOUSE,BTB/POZ domain-containing protein 6,mmu:399566,K10478,GO:0000932,No_GOBP,No_GOMF,cytoplasmic mRNA processing body (GO:0000932);,Complete proteome;Cytoplasm;Reference proteome.;,,,,,,,,,,,,,,,
contig214094,adi_v1_predictedtranscripts,adi_v1.03833,1724,predicted protein [Nematostella vectensis] gi|156229072|gb|EDO49868.1| predicted protein [Nematostella vectensis],9.01E-25,calmodulin variant 1 [Carpodacus mexicanus],3.43E-24,P02598,43.28,2.00E-25,CALM_TETPY,Calmodulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Direct protein sequencing;Methylation;Repeat.;,,,,,,,,,,,,,,,
contig215061,adi_v1_predictedtranscripts,adi_v1.07203,1357,predicted protein [Nematostella vectensis] gi|156223251|gb|EDO44088.1| predicted protein [Nematostella vectensis],5.14E-86,BTB/POZ domain-containing protein 6 [Xenopus laevis] gi|123894869|sp|Q2LE78.1|BTBD6_XENLA RecName: Full=BTB/POZ domain-containing protein 6 gi|84620120|gb|ABC59313.1| BTB domain protein 6 [Xenopus laevis] gi|213623210|gb|AAI69436.1| BTB domain protein 6 [Xenopus laevis] gi|213626442|gb|AAI69440.1| BTB domain protein 6 [Xenopus laevis],1.04E-62,Q2LE78,35.35,5.00E-64,BTBD6_XENLA,BTB/POZ domain-containing protein 6,xla:398279,K10478,GO:0000932,No_GOBP,No_GOMF,cytoplasmic mRNA processing body (GO:0000932);,Cytoplasm.;,,,,,,,,,,,,,,,
contig218391,adi_v1_predictedtranscripts,adi_v1.12292,1640,predicted protein [Nematostella vectensis] gi|156213382|gb|EDO34404.1| predicted protein [Nematostella vectensis],4.22E-16,PIF/Harbinger-like protein [Adineta vaga],1.04E-06,E7EYU7,29.95,3.00E-09,E7EYU7_DANRE,Uncharacterized protein,No_KEGG,No_KEGGKO,GO:0016788,No_GOBP,"hydrolase activity, acting on ester bonds (GO:0016788);",No_GOCC,Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig600007,adi_v1_predictedtranscripts,adi_v1.17481,2039,predicted protein [Nematostella vectensis] gi|156221385|gb|EDO42241.1| predicted protein [Nematostella vectensis],3.58E-23,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant), isoform CRA_a [Homo sapiens]",2.40E-19,P12108,39.11,7.00E-23,CO9A2_CHICK,Collagen alpha-2(IX) chain,No_KEGG,No_KEGGKO,GO:0005581,No_GOBP,No_GOMF,collagen (GO:0005581);,Collagen;Complete proteome;Direct protein sequencing;Disulfide bond;Extracellular matrix;Glycoprotein;Hydroxylation;Proteoglycan;Reference proteome;Repeat;Secreted;Signal.;,,,,,,,,,,,,,,,
contig204354_105066,adi_v1_predictedtranscripts,adi_v1.13583,766,hypothetical protein BRAFLDRAFT_116053 [Branchiostoma floridae] gi|229278724|gb|EEN49510.1| hypothetical protein BRAFLDRAFT_116053 [Branchiostoma floridae],2.35E-50,GK20284 [Drosophila willistoni] gi|194161906|gb|EDW76807.1| GK20284 [Drosophila willistoni],5.23E-50,P42325,86.61,3.00E-51,NCAH_DROME,Neurocalcin homolog,dme:Dmel_CG7641,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Lipoprotein;Myristate;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig148676_78292,adi_v1_predictedtranscripts,adi_v1.20619,1622,AGAP006622-PA [Anopheles gambiae str. PEST] gi|157016387|gb|EAA10818.4| AGAP006622-PA [Anopheles gambiae str. PEST],2.61E-18,AGAP006622-PA [Anopheles gambiae str. PEST] gi|157016387|gb|EAA10818.4| AGAP006622-PA [Anopheles gambiae str. PEST],2.61E-18,A3E4D8,32.43,6.00E-19,CALM_PROMN,Calmodulin,No_KEGG,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Acetylation;Calcium;Methylation;Repeat.;,,,,,,,,,,,,,,,
contig106984_147806,33496_denovo,contig106984_147806,977,PREDICTED: similar to sodium channel associated protein 1A [Strongylocentrotus purpuratus] gi|115968742|ref|XP_001191794.1| PREDICTED: similar to sodium channel associated protein 1A [Strongylocentrotus purpuratus],8.04E-58,sodium channel and clathrin linker 1 isoform 1 [Xenopus (Silurana) tropicalis],2.19E-47,Q96NL6,34.65,4.00E-47,SCLT1_HUMAN,Sodium channel and clathrin linker 1,hsa:132320,No_KEGGKO,GO:0005813,No_GOBP,No_GOMF,centrosome (GO:0005813);,Alternative splicing;Coiled coil;Complete proteome;Cytoplasm;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig213208_171065_16923,adi_v1_predictedtranscripts,adi_v1.11500,2610,hypothetical protein BRAFLDRAFT_278229 [Branchiostoma floridae] gi|229279372|gb|EEN50150.1| hypothetical protein BRAFLDRAFT_278229 [Branchiostoma floridae],1.02E-81,"cirhin [Danio rerio] gi|40807064|gb|AAH65322.1| Cirrhosis, autosomal recessive 1A (cirhin) [Danio rerio] gi|148725890|emb|CAN87864.1| cirrhosis, autosomal recessive 1A (cirhin) [Danio rerio]",2.59E-77,Q969X6,29.72,2.00E-79,CIR1A_HUMAN,Cirhin,hsa:84916,K14548,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Alternative splicing;Complete proteome;Disease mutation;Nucleus;Polymorphism;Reference proteome;Repeat;WD repeat.;,,,,,,,,,,,,,,,
contig8307_4761_26724,adi_v1_predictedtranscripts,adi_v1.01999,2186,predicted protein [Nematostella vectensis] gi|156226463|gb|EDO47272.1| predicted protein [Nematostella vectensis],3.99E-161,KDEL motif-containing protein 1 precursor [Danio rerio] gi|82188635|sp|Q7ZVE6.1|KDEL1_DANRE RecName: Full=KDEL motif-containing protein 1; Flags: Precursor gi|28277832|gb|AAH45893.1| KDEL (Lys-Asp-Glu-Leu) containing 1 [Danio rerio],5.62E-131,Q7ZVE6,62.2,3.00E-132,KDEL1_DANRE,KDEL motif-containing protein 1,dre:393905,No_KEGGKO,GO:0005788,No_GOBP,No_GOMF,endoplasmic reticulum lumen (GO:0005788);,Complete proteome;Endoplasmic reticulum;Glycoprotein;Reference proteome;Signal.;,,,,,,,,,,,,,,,
contig73193_81439,33496_denovo,contig73193_81439,1087,predicted protein [Nematostella vectensis] gi|156226764|gb|EDO47572.1| predicted protein [Nematostella vectensis],3.04E-88,"Ca2+ sensor, putative [Ixodes scapularis] gi|215501666|gb|EEC11160.1| Ca2+ sensor, putative [Ixodes scapularis]",3.36E-87,P42325,90.12,6.00E-88,NCAH_DROME,Neurocalcin homolog,dme:Dmel_CG7641,No_KEGGKO,GO:0005509,No_GOBP,calcium ion binding (GO:0005509);,No_GOCC,Calcium;Complete proteome;Lipoprotein;Myristate;Reference proteome;Repeat.;,,,,,,,,,,,,,,,
contig149382_109340,33496_denovo,contig149382_109340,925,predicted protein [Nematostella vectensis] gi|156224515|gb|EDO45340.1| predicted protein [Nematostella vectensis],3.83E-131,IQ motif containing with AAA domain 1 [Saccoglossus kowalevskii],2.49E-122,Q86XH1,63.39,5.00E-104,IQCA1_HUMAN,IQ and AAA domain-containing protein 1,hsa:79781,No_KEGGKO,GO:0005524,No_GOBP,ATP binding (GO:0005524);,No_GOCC,Alternative splicing;ATP-binding;Complete proteome;Nucleotide-binding;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig71494_109692,33496_denovo,contig71494_109692,1184,predicted protein [Nematostella vectensis] gi|156226810|gb|EDO47617.1| predicted protein [Nematostella vectensis],1.63E-37,GH18650 [Drosophila grimshawi] gi|193893893|gb|EDV92759.1| GH18650 [Drosophila grimshawi],1.64E-13,Q9CPT5,37.4,2.00E-14,NOP16_MOUSE,Nucleolar protein 16,mmu:28126,No_KEGGKO,GO:0005730,No_GOBP,No_GOMF,nucleolus (GO:0005730);,Acetylation;Complete proteome;Nucleus;Phosphoprotein;Polymorphism;Reference proteome.;,,,,,,,,,,,,,,,
contig189566_170361,33496_denovo,contig189566_170361,1046,ankyrin repeat and SOCS box protein 9 [Rattus norvegicus],2.71E-30,ankyrin repeat and SOCS box protein 9 [Rattus norvegicus],2.71E-30,Q96DX5,33.22,4.00E-30,ASB9_HUMAN,Ankyrin repeat and SOCS box protein 9,hsa:140462,K10331,GO:0035556,intracellular signal transduction (GO:0035556);,No_GOMF,No_GOCC,3D-structure;Alternative splicing;ANK repeat;Complete proteome;Reference proteome;Repeat;Ubl conjugation pathway.;,,,,,,,,,,,,,,,
contig98290_158902,adi_v1_predictedtranscripts,adi_v1.23942,2331,predicted protein [Nematostella vectensis] gi|156215376|gb|EDO36338.1| predicted protein [Nematostella vectensis],3.17E-79,BIPL1 [Mus musculus],6.84E-74,Q7L2J0,38.88,8.00E-76,MEPCE_HUMAN,7SK snRNA methylphosphate capping enzyme,hsa:56257,K15190,GO:0008168,No_GOBP,methyltransferase activity (GO:0008168);,No_GOCC,3D-structure;Acetylation;Complete proteome;Methyltransferase;Phosphoprotein;Reference proteome;S-adenosyl-L-methionine;Transferase.;,,,,,,,,,,,,,,,
contig68314_211057_167495_79687,adi_v1_predictedtranscripts,adi_v1.09954,5973,hypothetical protein BRAFLDRAFT_66022 [Branchiostoma floridae] gi|229281482|gb|EEN52240.1| hypothetical protein BRAFLDRAFT_66022 [Branchiostoma floridae],1.81E-156,"zinc finger protein swim domain containing protein 4, 5, putative [Pediculus humanus corporis] gi|212511136|gb|EEB14169.1| zinc finger protein swim domain containing protein 4, 5, putative [Pediculus humanus corporis]",2.21E-154,A7E2V4,59,6.00E-153,K0913_HUMAN,Zinc finger SWIM domain-containing protein KIAA0913,hsa:23053,No_KEGGKO,GO:0008270,No_GOBP,zinc ion binding (GO:0008270);,No_GOCC,Alternative splicing;Complete proteome;Metal-binding;Phosphoprotein;Reference proteome;Zinc;Zinc-finger.;,,,,,,,,,,,,,,,
contig165544_94313_179830_118779,adi_v1_predictedtranscripts,adi_v1.00540,1460,predicted protein [Nematostella vectensis] gi|156223727|gb|EDO44559.1| predicted protein [Nematostella vectensis],1.58E-104,hydrolase [Rhodococcus opacus B4] gi|226243865|dbj|BAH54213.1| putative hydrolase [Rhodococcus opacus B4],1.04E-47,Q0S455,33.42,2.00E-49,Q0S455_RHOSR,Putative uncharacterized protein,rha:RHA1_ro05904,K07047,GO:0016810,No_GOBP,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds (GO:0016810);",No_GOCC,Complete proteome;Hydrolase.;,,,,,,,,,,,,,,,
contig600030_131146_140500_78614,33496_denovo,contig600030_131146_140500_78614,4037,predicted protein [Nematostella vectensis] gi|156213281|gb|EDO34306.1| predicted protein [Nematostella vectensis],2.05E-23,"Family with sequence similarity 96, member A [Bos taurus] gi|296483207|gb|DAA25322.1| family with sequence similarity 96, member A [Bos taurus]",9.51E-21,Q9DCL2,74.24,4.00E-22,FA96A_MOUSE,MIP18 family protein FAM96A,mmu:68250,No_KEGGKO,GO:0007059,chromosome segregation (GO:0007059);,No_GOMF,No_GOCC,Chromosome partition;Complete proteome;Reference proteome.;,,,,,,,,,,,,,,,
contig209242_158092,Matz_milleporaESTs,isotig03085,977,predicted protein [Nematostella vectensis] gi|156225380|gb|EDO46198.1| predicted protein [Nematostella vectensis],5.46E-14,thymopoietin [Danio rerio],7.90E-05,B3RIA0,35.14,3.00E-05,B3RIA0_TRIAD,Putative uncharacterized protein,tad:TRIADDRAFT_52400,No_KEGGKO,GO:0005635,No_GOBP,No_GOMF,nuclear envelope (GO:0005635);,No_keywords,,,,,,,,,,,,,,,
